City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
180,dalhart,36.0595,-102.5133,14.1,94,100,9.77,US,1684981927
181,corner brook,48.9667,-57.9484,8.09,77,2,1.85,CA,1684981898
182,antofagasta,-23.65,-70.4,17.6,83,40,1.96,CL,1684981906
183,kyren,51.6828,102.1408,5.11,70,100,0.28,RU,1684981927
184,colonia,50.9333,6.95,9.98,87,0,1.03,DE,1684981927
185,jamestown,42.097,-79.2353,11.77,76,0,3.6,US,1684981745
186,landeck,47.1301,10.5636,9.41,97,96,1.21,AT,1684981798
187,dehloran,32.6941,47.2679,29.87,26,100,4.65,IR,1684981928
188,novobataysk,46.8981,39.7819,19.34,93,100,2.15,RU,1684981928
189,aykhal,66.0,111.5,0.81,83,100,6.7,RU,1684981928
190,saint-joseph,-21.3667,55.6167,22.21,86,100,3.83,RE,1684981764
191,jinchang,38.4953,102.1739,17.65,17,100,1.55,CN,1684981929
192,udachny,66.4167,112.4,1.36,86,100,6.75,RU,1684981763
193,happy valley-goose bay,53.3168,-60.3315,2.17,93,100,4.12,CA,1684981929
194,chonchi,-42.6128,-73.8092,8.26,78,79,5.27,CL,1684981761
195,thurso,58.5927,-3.5259,9.36,83,50,5.64,GB,1684981930
196,besisahar,28.2313,84.3761,26.29,52,78,1.84,NP,1684981930
197,ormara,25.2088,64.6357,28.83,85,15,9.13,PK,1684981930
198,coquimbo,-29.9533,-71.3436,13.85,94,0,3.6,CL,1684981930
199,akureyri,65.6835,-18.0878,4.96,65,75,5.14,IS,1684981931
200,st. john's,47.5649,-52.7093,6.66,83,0,5.14,CA,1684981667
201,fort mcmurray,56.7268,-111.381,13.77,67,100,5.66,CA,1684981851
202,college,64.8569,-147.8028,20.97,35,75,3.6,US,1684981742
203,wanning,18.8003,110.3967,31.29,69,85,3.69,CN,1684981931
204,manismata,-2.4667,111.0333,31.78,55,77,2.2,ID,1684981932
205,gudul,40.2105,32.2455,10.67,75,99,1.71,TR,1684981932
206,zaozersk,69.4005,32.4476,10.89,70,99,8.29,RU,1684981932
207,margaret river,-33.95,115.0667,15.4,55,46,4.72,AU,1684981932
208,beau vallon,-20.4189,57.6953,23.45,77,17,1.62,MU,1684981933
209,gubin,51.9496,14.7284,7.83,90,5,2.03,PL,1684981933
210,gadzhiyevo,69.2551,33.3362,11.02,69,100,7.76,RU,1684981933
211,west island,-12.1568,96.8225,25.99,94,75,5.66,CC,1684981757
212,toliara,-23.35,43.6667,16.79,77,0,5.12,MG,1684981933
213,utrik,11.2278,169.8474,27.54,78,100,6.97,MH,1684981760
214,winnemucca,40.973,-117.7357,13.03,76,75,3.09,US,1684981934
215,kifri,34.6959,44.9661,27.48,31,100,3.94,IQ,1684981934
216,meizhou,24.2977,116.1072,30.48,66,91,1.41,CN,1684981934
217,nesebar,42.7833,27.7333,11.49,89,15,1.5,BG,1684981934
218,alesund,62.4723,6.1549,8.52,77,100,10.29,NO,1684981935
219,lamu,-2.2717,40.902,24.12,81,6,4.05,KE,1684981935
220,durres,41.3231,19.4414,14.1,78,17,1.3,AL,1684981836
221,praia da vitoria,38.7333,-27.0667,17.14,77,20,4.67,PT,1684981935
222,grand falls-windsor,48.9332,-55.6649,7.5,75,17,0.45,CA,1684981755
